fileName,resortName,unitType,group,unitGroup,tag,ext,alt
209,kirk,kirk-4bd,,10,,,
210,kirk,kirk-4bd,,0,,,
211,kirk,kirk-4bd,,10,,,
212,kirk,kirk-4bd,,10,,,
213,kirk,kirk-4bd,,10,,,
214,kirk,kirk-4bd,,10,,,
215,kirk,kirk-4bd,,10,,,
216,kirk,kirk-4bd,,10,,,
217,kirk,kirk-4bd,,10,,,
218,kirk,kirk-4bd,,10,,,
219,kirk,kirk-4bd,,10,,,
220,kirk,kirk-4bd,,10,,,
221,kirk,kirk-4bd,,10,,,
222,kirk,kirk-casita,,10,,,
223,kirk,kirk-casita,,10,,,
224,kirk,kirk-2bd,1,0,,,
225,kirk,kirk-2bd,,10,,,
226,kirk,kirk-casita,,10,,,
227,kirk,kirk-casita,,10,,,
228,kirk,kirk-casita,,10,,,
229,kirk,kirk-casita,,10,,,
230,kirk,kirk-casita,,10,,,
231,kirk,kirk-casita,,10,,,
232,kirk,kirk-casita,,10,,,
233,kirk,kirk-casita,,10,,,
234,kirk,kirk-casita,,10,,,
235,kirk,kirk-1bd-1,,0,,,
236,kirk,kirk-1bd-1,,10,,,
237,kirk,kirk-cardon,,10,,,
238,kirk,kirk-cardon,,10,,,
239,kirk,kirk-cardon,,0,,,
240,kirk,kirk-casita,1,10,,,
241,kirk,kirk-casita,,10,,,
242,kirk,kirk-casita,,10,,,
243,kirk,kirk-casita,,10,,,
244,kirk,kirk-casita,,10,,,
245,kirk,kirk-casita,,10,,,
246,kirk,kirk-casita,,0,,,
247,kirk,,5,,,,
248,kirk,,,,,,
249,kirk,,,,,,
250,pelican,,1,,,,
251,pelican,,2,,,,
252,pelican,,,,,,
253,kirk,,600,,sports equip,,
254,kirk,,600,,sports,,
255,kirk,,600,,sports,,
256,kirk,,600,,sports,,
257,kirk,,600,,sports,,
258,kirk,,,,,,
259,kirk,,,,,,
260,pelican,,1,,,,
261,kirk,,550,,,,
262,kirk,,320,,,,
263,kirk,,0,,,,
264,pelican,,1,,,,
265,kirk,,510,,sports,,
266,kirk,,300,,,,
267,kirk,,550,,sports,,
268,kirk,,550,,sports,,
269,kirk,,510,,sports,,
270,kirk,,500,,sports,,
271,kirk,,502,,sports,,
272,kirk,,501,,sports,,
273,pelican,,2,,,,
274,pelican,,1,,,,
275,pelican,,5,,,,
276,pelican,,2,,,,
277,pelican,,1,,,,
278,pelican,,2,,,,
279,pelican,,1,,,,
280,pelican,pelican-villa,,0,,,
281,pelican,pelican-villa,,20,,,
282,pelican,pelican-villa,,10,,,
283,pelican,pelican-villa,,10,,,
284,pelican,pelican-villa,,30,,,
285,pelican,pelican-villa,,10,,,
286,pelican,pelican-villa,,30,,,
287,pelican,pelican-villa,,10,,,
288,pelican,pelican-villa,,10,,,
289,pelican,pelican-villa,,10,,,
290,pelican,pelican-villa,,20,,,
291,pelican,pelican-villa,,20,,,
292,pelican,,,,,,
293,kurt,,,,,,
294,kurt,,2,,,,
295,kurt,,200,,,,
296,kurt,,200,,,,
297,kurt,,200,,,,
298,kurt,,1,,,,
299,kurt,,0,,,,
300,kurt,kurt-1,,0,,,
301,kurt,kurt-1,,10,,,
302,kurt,kurt-1,,10,,,
303,kurt,kurt-2,,0,,,
304,kurt,kurt-2,,10,,,
305,kurt,,2,,,,
306,kurt,,1,,,,
307,kurt,,500,,,,
224-copy,kirk,kirk-1bd-2,,0,,,
temp-1,kirk,kirk-1bd-2,,10,,,
