fileName,resortName,unitType,group,unitGroup,tag,ext,alt
207,kirk,kirk-4bd,1,10,,,
208,kirk,kirk-4bd,1,10,,,
209,kirk,kirk-4bd,1,10,,,
210,kirk,kirk-4bd,1,0,,,
211,kirk,kirk-4bd,1,10,,,
212,kirk,kirk-4bd,,10,,,
213,kirk,kirk-4bd,,10,,,
214,kirk,kirk-4bd,,10,,,
215,kirk,kirk-4bd,,10,,,
216,kirk,kirk-4bd,,10,,,
217,kirk,kirk-4bd,,10,,,
218,kirk,kirk-4bd,,10,,,
219,kirk,kirk-4bd,,10,,,
220,kirk,kirk-4bd,,10,,,
221,kirk,kirk-4bd,,10,,,
222,kirk,kirk-casita,,10,,,
223,kirk,kirk-casita,,10,,,
224,kirk,kirk-2bd,1,0,,,
225,kirk,kirk-2bd,,10,,,
226,kirk,kirk-casita,,10,,,
227,kirk,kirk-casita,,10,,,
228,kirk,kirk-casita,,10,,,
229,kirk,kirk-casita,,10,,,
230,kirk,kirk-casita,,10,,,
231,kirk,kirk-casita,,10,,,
232,kirk,kirk-casita,,10,,,
233,kirk,kirk-casita,,10,,,
234,kirk,kirk-casita,,10,,,
235,kirk,kirk-1bd-bv,,0,,,
236,kirk,kirk-1bd-bv,,10,,,
237,kirk,kirk-cardon,,10,,,
238,kirk,kirk-cardon,,10,,,
239,kirk,kirk-cardon,,0,,,
240,kirk,kirk-casita,1,10,,,
241,kirk,kirk-casita,,10,,,
242,kirk,kirk-casita,,10,,,
243,kirk,kirk-casita,,10,,,
244,kirk,kirk-casita,1,10,,,
245,kirk,kirk-casita,,10,,,
246,kirk,kirk-casita,,0,,,
247,kirk,,2,,,,
248,kirk,,,,,,
249,kirk,,,,,,
250,pelican,,1,,,,
251,pelican,,2,,,,
252,pelican,,,,,,
253,kirk,,100,,sports,,
254,kirk,,100,,sports,,
255,kirk,,100,,sports,,
256,kirk,,100,,sports,,
257,kirk,,100,,sports,,
258,kirk,,,,,,
259,kirk,,2,,,,
260,pelican,,1,,,,
261,kirk,,1,,,,
262,kirk,,2,,,,
263,kirk,,1,,,,
264,pelican,,1,,,,
265,kirk,,100,,sports,,
266,kirk,,1,,,,
267,kirk,,100,,sports,,
268,kirk,,1,,sports,,
269,kirk,,100,,sports,,
270,kirk,,0,,sports,,
271,kirk,,1,,sports,,
272,kirk,,,,sports,,
273,pelican,,2,,,,
274,pelican,,1,,,,
275,pelican,,,,,,
276,pelican,,2,,,,
277,pelican,,1,,,,
278,pelican,,2,,,,
279,pelican,,1,,,,
280,pelican,,0,,,,
281,pelican,,2,,,,
282,pelican,,1,,,,
283,pelican,,1,,,,
284,pelican,,3,,,,
285,pelican,,1,,,,
286,pelican,,3,,,,
287,pelican,,1,,,,
288,pelican,,1,,,,
289,pelican,,1,,,,
290,pelican,,2,,,,
291,pelican,,2,,,,
292,kirt,,3,,,,
293,kirt,,,,,,
294,kirt,,2,,,,
295,kirt,,1,,,,
296,kirt,,3,,,,
297,kirt,,3,,,,
298,kirt,,1,,,,
299,kirt,,0,,,,
300,kirt,kirt-1,1,0,,,
301,kirt,kirt-1,,10,,,
302,kirt,kirt-1,2,10,,,
303,kirt,kirt-2,2,0,,,
304,kirt,kirt-2,,10,,,
305,kirt,,2,,,,
306,kirt,,1,,,,
307,kirt,,,,,,
